city_id,total_rows,c_class_rows,d_class_rows,c_class_ratio,d_class_ratio
0,38430,1390,1736,0.03616965912047879,0.04517304189435337
16,4680,126,227,0.026923076923076925,0.048504273504273505
12,3600,109,164,0.03027777777777778,0.04555555555555556
3,1710,86,90,0.050292397660818715,0.05263157894736842
11,900,28,32,0.03111111111111111,0.035555555555555556
13,450,15,22,0.03333333333333333,0.04888888888888889
5,90,5,6,0.05555555555555555,0.06666666666666667
6,90,4,2,0.044444444444444446,0.022222222222222223
14,90,3,1,0.03333333333333333,0.011111111111111112
15,180,3,5,0.016666666666666666,0.027777777777777776
4,90,1,5,0.011111111111111112,0.05555555555555555
2,90,1,2,0.011111111111111112,0.022222222222222223
